algorithm,descriptors,training_set,word_embedding,unique_q,correct_q,gt_exist,ratio_corr_ext
custom,atm,googleplay,wm,759,145,179,0.810055866
custom,atm,standard,wm,714,138,169,0.816568047
custom,atm,android,wm,640,116,153,0.758169935
custom,atm,standard,use,697,140,166,0.843373494
custom,union,standard,wm,656,124,159,0.779874214
custom,atm,blogs,wm,712,130,166,0.78313253
custom,union,googleplay,wm,743,133,172,0.773255814
custom,intersection,googleplay,wm,739,139,177,0.785310734
custom,craftdroid,googleplay,wm,677,127,161,0.788819876
custom,union,blogs,wm,760,144,181,0.79558011
custom,union,android,wm,711,124,170,0.729411765
custom,craftdroid,standard,wm,762,144,179,0.804469274
atm,atm,blogs,wm,851,53,170,0.311764706
atm,atm,standard,wm,902,47,179,0.262569832
custom,craftdroid,android,wm,709,127,171,0.742690058
atm,atm,googleplay,wm,864,52,169,0.307692308
custom,atm,standard,nnlm,724,143,180,0.794444444
custom,craftdroid,standard,use,776,150,183,0.819672131
atm,atm,standard,use,878,57,188,0.303191489
custom,union,standard,use,754,137,174,0.787356322
craftdroid,atm,empty,jaccard,538,88,171,0.514619883
custom,intersection,empty,jaccard,394,116,167,0.694610778
craftdroid,intersection,empty,jaccard,543,94,176,0.534090909
atm,intersection,empty,jaccard,416,131,180,0.727777778
custom,atm,empty,jaccard,416,127,173,0.734104046